time,temp2,hum,dew,rain,mean1,dir,rainsum,rainint,press1,rainclass,gust2,road1_surface,road1_freez,road1_status,road1_salt,road2_surface,road2_freez,road2_salt,date,station_id,station_name
23:55,2.3,65,-3.7,0,1.5,296,12.1,0.00,1660.6,0,5.5,-1.7,-0.0,21,0.0,-2.2,-4.6,1.2,2023-02-09,F-10,Kambsdalur
23:50,2.4,62,-4.2,0,2.1,251,12.1,0.00,1660.5,0,5.5,-1.7,-0.0,21,0.0,-2.2,-4.7,1.2,2023-02-09,F-10,Kambsdalur
23:45,2.6,61,-4.1,0,2.2,237,12.1,0.00,1661.6,0,5.2,-1.7,-0.0,21,0.0,-2.2,-4.7,1.2,2023-02-09,F-10,Kambsdalur
23:40,2.6,61,-4.2,0,1.4,216,12.1,0.00,1662.3,0,4.4,-1.8,-0.0,21,0.0,-2.3,-4.7,1.2,2023-02-09,F-10,Kambsdalur
23:35,2.3,60,-4.7,0,1.0,204,12.1,0.00,1663.6,0,2.4,-1.8,-0.0,21,0.0,-2.3,-4.7,1.2,2023-02-09,F-10,Kambsdalur
23:30,2.3,60,-4.8,0,1.5,225,12.1,0.00,1663.8,0,4.5,-1.8,-0.0,21,0.0,-2.3,-4.8,1.2,2023-02-09,F-10,Kambsdalur
23:25,2.2,59,-4.9,0,1.7,217,12.1,0.00,1665.2,0,5.3,-1.8,-0.0,21,0.0,-2.3,-4.8,1.2,2023-02-09,F-10,Kambsdalur
23:20,2.1,60,-4.9,0,1.5,226,12.1,0.00,1665.9,0,5.3,-1.8,-0.0,21,0.0,-2.3,-4.8,1.2,2023-02-09,F-10,Kambsdalur
23:15,1.8,60,-5.0,0,1.6,223,12.1,0.00,1666.4,0,3.2,-1.9,-0.0,21,0.0,-2.3,-4.8,1.2,2023-02-09,F-10,Kambsdalur
23:10,1.7,61,-4.9,0,2.7,215,12.1,0.00,1666.5,0,5.7,-1.9,-0.0,21,0.0,-2.3,-4.9,1.2,2023-02-09,F-10,Kambsdalur
23:05,2.2,58,-5.1,0,3.2,231,12.1,0.00,1666.8,0,6.0,-1.9,-0.0,21,0.0,-2.4,-4.9,1.3,2023-02-09,F-10,Kambsdalur
23:00,2.3,59,-5.0,0,3.2,231,12.1,0.00,1668.6,0,6.0,-1.9,-0.0,21,0.0,-2.4,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:55,2.2,58,-5.1,0,2.7,222,12.1,0.00,1668.9,0,5.6,-1.9,-0.0,21,0.0,-2.4,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:50,1.8,61,-5.0,0,2.2,221,12.1,0.00,1670.3,0,4.6,-2.0,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:45,1.9,60,-5.0,0,2.8,216,12.1,0.00,1670.0,0,7.3,-2.0,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:40,2.0,60,-5.0,0,3.3,209,12.1,0.00,1671.2,0,7.3,-2.1,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:35,1.9,59,-5.1,0,3.0,218,12.1,0.00,1670.8,0,5.6,-2.1,-0.0,21,0.0,-2.6,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:30,1.9,59,-5.2,0,3.4,232,12.1,0.00,1671.8,0,8.4,-2.2,-0.0,21,0.0,-2.6,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:25,1.6,61,-5.0,0,5.0,240,12.1,0.00,1671.7,0,8.5,-2.1,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:20,1.9,60,-5.0,0,5.5,231,12.1,0.00,1672.5,0,8.6,-2.0,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:15,1.9,60,-5.1,0,5.7,228,12.1,0.00,1672.6,0,10.1,-2.1,-0.0,21,0.0,-2.5,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:10,1.9,59,-5.3,0,4.7,221,12.1,0.00,1672.8,0,10.1,-2.1,-0.0,21,0.0,-2.6,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:05,1.8,58,-5.7,0,4.7,218,12.1,0.00,1673.6,0,9.2,-2.2,-0.0,21,0.0,-2.6,-4.9,1.3,2023-02-09,F-10,Kambsdalur
22:00,1.9,58,-5.5,0,5.4,228,12.1,0.00,1673.6,0,9.2,-2.2,-0.0,21,0.0,-2.6,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:55,1.7,58,-5.7,0,3.9,228,12.1,0.00,1673.6,0,7.2,-2.2,-0.0,21,0.0,-2.6,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:50,1.6,58,-5.7,0,3.3,217,12.1,0.00,1673.9,0,6.4,-2.2,-0.0,21,0.0,-2.6,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:45,1.6,56,-6.2,0,2.9,204,12.1,0.00,1674.5,0,5.4,-2.3,-0.0,21,0.0,-2.7,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:40,1.4,58,-6.1,0,2.6,199,12.1,0.00,1674.8,0,4.2,-2.3,-0.0,21,0.0,-2.7,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:35,1.2,59,-6.1,0,2.9,208,12.1,0.00,1675.4,0,4.2,-2.3,-0.0,21,0.0,-2.7,-4.8,1.2,2023-02-09,F-10,Kambsdalur
21:30,1.3,59,-5.9,0,2.6,206,12.1,0.00,1676.1,0,3.9,-2.3,-0.0,21,0.0,-2.7,-4.7,1.2,2023-02-09,F-10,Kambsdalur
21:25,1.4,57,-6.1,0,2.1,189,12.1,0.00,1676.2,0,3.9,-2.3,-0.0,21,0.0,-2.8,-4.6,1.2,2023-02-09,F-10,Kambsdalur
21:20,1.5,55,-6.6,0,1.7,181,12.1,0.00,1676.5,0,3.7,-2.4,-0.0,21,0.0,-2.8,-4.5,1.2,2023-02-09,F-10,Kambsdalur
21:15,1.3,53,-7.2,0,1.9,178,12.1,0.00,1677.2,0,2.8,-2.4,-0.0,21,0.0,-2.8,-4.5,1.2,2023-02-09,F-10,Kambsdalur
21:05,1.0,56,-6.8,0,2.5,200,12.1,0.00,1676.7,0,3.7,-2.5,-0.0,21,0.0,-2.9,-4.4,1.1,2023-02-09,F-10,Kambsdalur
21:00,1.2,54,-7.0,0,2.3,222,12.1,0.00,1676.2,0,3.7,-2.5,-0.0,21,0.0,-2.9,-4.4,1.1,2023-02-09,F-10,Kambsdalur
20:55,0.6,63,-5.7,0,1.9,234,12.1,0.00,1676.1,0,3.7,-2.6,-0.0,21,0.0,-3.0,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:50,0.7,57,-6.9,0,2.1,234,12.1,0.00,1675.9,0,4.3,-2.6,-0.0,21,0.0,-3.0,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:45,0.6,58,-6.6,0,2.4,228,12.1,0.00,1675.9,0,4.3,-2.6,-0.0,21,0.0,-3.0,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:40,0.4,63,-5.8,0,1.5,249,12.1,0.00,1675.7,0,3.4,-2.7,-0.0,21,0.0,-3.0,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:35,0.3,56,-7.4,0,1.1,276,12.1,0.00,1676.1,0,2.3,-2.7,-0.0,21,0.0,-3.1,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:30,0.4,61,-6.3,0,2.0,278,12.1,0.00,1677.7,0,5.2,-2.7,-0.0,21,0.0,-3.1,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:20,0.9,55,-7.1,0,2.8,267,12.1,0.00,1677.4,0,5.6,-2.7,-0.0,21,0.0,-3.1,-4.5,1.2,2023-02-09,F-10,Kambsdalur
20:15,0.6,55,-7.3,0,3.1,256,12.1,0.00,1677.2,0,5.6,-2.8,-0.0,21,0.0,-3.2,-4.4,1.1,2023-02-09,F-10,Kambsdalur
20:10,0.7,56,-7.2,0,3.1,258,12.1,0.00,1677.9,0,6.4,-2.8,-0.0,21,0.0,-3.2,-4.4,1.1,2023-02-09,F-10,Kambsdalur
20:05,0.5,55,-7.5,0,2.9,245,12.1,0.00,1677.0,0,6.4,-2.8,-0.0,21,0.0,-3.2,-4.4,1.1,2023-02-09,F-10,Kambsdalur
20:00,0.5,53,-7.9,0,2.9,239,12.1,0.00,1677.5,0,8.0,-2.9,-0.0,21,0.0,-3.3,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:55,1.1,48,-8.7,0,2.7,232,12.1,0.00,1677.5,0,8.0,-3.0,-0.0,21,0.0,-3.3,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:50,0.7,51,-8.3,0,2.6,231,12.1,0.00,1677.9,0,5.5,-3.1,-0.0,21,0.0,-3.4,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:45,0.8,49,-8.6,0,3.5,242,12.1,0.00,1678.6,0,7.4,-3.1,-0.0,21,0.0,-3.4,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:40,0.6,52,-8.2,0,3.4,235,12.1,0.00,1679.2,0,7.4,-3.2,-0.0,21,0.0,-3.5,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:35,0.8,51,-8.3,0,2.6,237,12.1,0.00,1678.8,0,5.7,-3.3,-0.0,21,0.0,-3.5,-4.4,1.1,2023-02-09,F-10,Kambsdalur
19:30,0.9,49,-8.7,0,2.8,230,12.1,0.00,1679.3,0,7.8,-3.3,-0.0,21,0.0,-3.6,-4.5,1.2,2023-02-09,F-10,Kambsdalur
19:25,0.9,49,-8.7,0,2.4,227,12.1,0.00,1678.3,0,7.8,-3.4,-0.0,21,0.0,-3.7,-4.5,1.2,2023-02-09,F-10,Kambsdalur
19:20,0.6,51,-8.5,0,2.0,241,12.1,0.00,1677.9,0,4.8,-3.5,-0.0,21,0.0,-3.7,-4.6,1.2,2023-02-09,F-10,Kambsdalur
19:15,0.8,50,-8.5,0,2.5,232,12.1,0.00,1677.9,0,4.9,-3.6,-0.0,21,0.0,-3.8,-4.6,1.2,2023-02-09,F-10,Kambsdalur
19:10,0.9,49,-8.6,0,2.7,217,12.1,0.00,1676.8,0,5.6,-3.6,-0.0,21,0.0,-3.8,-4.7,1.2,2023-02-09,F-10,Kambsdalur
19:05,0.7,49,-8.7,0,2.2,216,12.1,0.00,1677.0,0,5.6,-3.6,-0.0,21,0.0,-3.8,-4.7,1.2,2023-02-09,F-10,Kambsdalur
19:00,0.8,48,-8.9,0,2.2,224,12.1,0.00,1675.9,0,4.8,-3.6,-0.0,21,0.0,-3.8,-4.8,1.2,2023-02-09,F-10,Kambsdalur
18:55,0.8,48,-9.0,0,2.2,256,12.1,0.00,1676.2,0,4.8,-3.6,-0.0,21,0.0,-3.8,-4.8,1.2,2023-02-09,F-10,Kambsdalur
18:50,0.1,52,-8.7,0,1.7,258,12.1,0.00,1675.3,0,3.8,-3.8,-0.0,21,0.0,-3.9,-4.9,1.3,2023-02-09,F-10,Kambsdalur
18:45,0.7,48,-9.1,0,1.8,232,12.1,0.00,1674.9,0,3.6,-3.8,-0.0,21,0.0,-4.0,-5.0,1.3,2023-02-09,F-10,Kambsdalur
18:40,-0.0,53,-8.6,0,1.4,225,12.1,0.00,1674.4,0,3.6,-3.8,-0.0,21,0.0,-3.9,-5.1,1.3,2023-02-09,F-10,Kambsdalur
18:35,0.3,51,-8.6,0,1.1,185,12.1,0.00,1674.8,0,5.6,-3.6,-0.0,21,0.0,-3.8,-5.1,1.3,2023-02-09,F-10,Kambsdalur
18:30,0.9,47,-9.0,0,2.4,188,12.1,0.00,1674.8,0,6.2,-3.5,-0.0,21,0.0,-3.8,-5.2,1.3,2023-02-09,F-10,Kambsdalur
18:25,0.3,51,-8.6,0,2.9,228,12.1,0.00,1674.7,0,6.2,-3.5,-0.0,21,0.0,-3.8,-5.3,1.4,2023-02-09,F-10,Kambsdalur
18:20,0.7,50,-8.6,0,2.8,232,12.1,0.00,1674.0,0,4.6,-3.8,-0.0,21,0.0,-3.9,-5.4,1.4,2023-02-09,F-10,Kambsdalur
18:15,0.3,52,-8.3,0,2.4,188,12.1,0.00,1673.8,0,4.3,-3.8,-0.0,21,0.0,-3.9,-5.5,1.4,2023-02-09,F-10,Kambsdalur
