time,temp2,hum,dew,rain,mean1,dir,rainsum,rainint,press1,rainclass,gust2,road1_surface,road1_freez,road1_status,road1_salt,road2_surface,road2_freez,road2_salt,date,station_id,station_name
23:55,8.5,79,5.0,1,5.6,302,0.3,12.46,995.3,3,12.0,6.1,-0.3,14,0.3,NA,NA,NA,2023-02-07,F-21,Sund
23:00,8.5,79,5.2,1,5.9,326,0.4,8.98,996.7,3,17.7,6.1,-0.2,14,0.2,NA,NA,NA,2023-02-07,F-21,Sund
22:35,8.3,80,5.1,1,4.6,359,0.7,1.03,997.6,1,10.0,5.9,-0.2,14,0.2,NA,NA,NA,2023-02-07,F-21,Sund
22:30,8.3,80,5.1,1,4.9,347,0.6,1.33,997.7,1,10.0,5.9,-0.2,14,0.2,NA,NA,NA,2023-02-07,F-21,Sund
22:25,NA,80,NA,1,NA,NA,0.1,13.48,998.2,3,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
22:25,NA,80,NA,1,NA,NA,0.1,13.48,998.2,3,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
22:05,NA,NA,NA,1,5.7,304,10.4,2.19,NA,2,15.9,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
22:00,NA,NA,NA,1,5.2,331,10.2,2.58,NA,2,13.7,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:55,NA,NA,NA,1,5.7,330,10.1,1.89,NA,1,14.4,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:50,NA,NA,NA,1,6.4,304,9.9,1.92,NA,1,14.4,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:45,NA,NA,NA,1,6.0,302,9.8,1.71,NA,1,21.2,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:40,NA,NA,NA,1,5.3,323,9.6,1.69,NA,1,21.2,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:35,NA,NA,NA,1,4.8,322,9.5,1.76,NA,1,14.1,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:30,NA,NA,NA,1,5.2,321,9.3,2.17,NA,2,13.8,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:25,NA,NA,NA,1,5.3,312,9.2,1.81,NA,1,19.6,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:20,NA,NA,NA,1,5.4,317,9.0,1.87,NA,1,19.6,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:15,NA,NA,NA,1,5.6,330,8.9,2.06,NA,2,19.0,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:10,NA,NA,NA,1,5.6,335,8.7,1.80,NA,1,19.0,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:05,NA,NA,NA,1,5.2,327,8.6,1.32,NA,1,14.3,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
21:00,NA,NA,NA,1,5.5,302,8.4,1.81,NA,1,19.4,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:55,NA,NA,NA,1,6.0,313,8.3,1.94,NA,1,19.4,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:50,NA,NA,NA,1,6.3,297,8.2,1.73,NA,1,19.2,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:45,NA,NA,NA,1,5.2,306,8.0,1.83,NA,1,19.2,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:40,NA,NA,NA,1,4.9,332,8.0,0.20,NA,1,14.5,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:35,NA,NA,NA,0,6.0,317,8.0,0.00,NA,0,14.9,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:30,NA,NA,NA,0,5.3,314,7.9,0.00,NA,0,14.9,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:25,NA,NA,NA,0,5.4,320,7.9,0.00,NA,0,21.8,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:20,NA,NA,NA,0,5.0,329,7.9,0.00,NA,0,21.8,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:15,NA,NA,NA,0,4.7,316,7.9,0.00,NA,0,17.5,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
20:10,NA,NA,NA,0,4.9,304,7.9,0.00,NA,0,17.5,NA,NA,NA,NA,NA,NA,NA,2023-02-07,F-21,Sund
