time,temp2,hum,dew,rain,mean1,dir,rainsum,rainint,press1,rainclass,gust2,road1_surface,road1_freez,road1_status,road1_salt,road2_surface,road2_freez,road2_salt,date,station_id,station_name
23:55,1.9,53,-6.5,NA,7.7,257,NA,0.00,991.1,0,12.5,-1.1,-0.1,28,0.3,-2.2,-0.0,0.1,2023-02-08,F-45,Streymnes
23:50,2.0,54,-6.2,NA,8.9,261,NA,0.00,991.2,0,15.3,-1.1,-0.1,28,0.3,-2.1,-0.0,0.1,2023-02-08,F-45,Streymnes
23:45,2.0,54,-6.2,NA,10.5,265,NA,0.00,991.3,0,17.3,-1.1,-0.1,28,0.3,-2.0,-0.0,0.1,2023-02-08,F-45,Streymnes
23:40,1.9,54,-6.4,NA,10.1,257,NA,0.00,991.4,0,17.3,-1.1,-0.1,28,0.3,-1.9,-0.0,0.2,2023-02-08,F-45,Streymnes
23:35,1.8,54,-6.6,NA,10.1,254,NA,0.00,991.6,0,15.3,-1.1,-0.2,28,0.3,-1.8,-0.0,0.2,2023-02-08,F-45,Streymnes
23:30,2.0,50,-7.4,NA,10.9,260,NA,0.00,991.2,0,15.3,-1.1,-0.2,28,0.3,-1.8,-0.0,0.2,2023-02-08,F-45,Streymnes
23:25,1.7,57,-5.9,NA,9.3,260,NA,0.00,991.4,0,14.5,-1.1,-0.2,28,0.3,-1.8,-0.0,0.1,2023-02-08,F-45,Streymnes
23:20,0.8,71,-3.8,NA,10.5,258,NA,0.00,991.4,0,24.6,-1.0,-0.1,28,0.3,-1.8,-0.0,0.1,2023-02-08,F-45,Streymnes
23:15,0.8,73,-3.4,NA,13.3,251,NA,0.00,991.3,0,24.6,-1.0,-0.1,28,0.2,-1.8,-0.0,0.1,2023-02-08,F-45,Streymnes
23:10,1.0,73,-3.3,NA,10.1,253,NA,0.00,991.6,0,22.6,-1.1,-0.1,28,0.2,-1.8,-0.0,0.1,2023-02-08,F-45,Streymnes
23:05,2.2,64,-3.9,NA,6.5,244,NA,0.00,991.7,0,22.6,-1.1,-0.1,28,0.2,-1.8,-0.0,0.1,2023-02-08,F-45,Streymnes
