time,temp2,hum,dew,rain,mean1,dir,rainsum,rainint,press1,rainclass,gust2,road1_surface,road1_freez,road1_status,road1_salt,road2_surface,road2_freez,road2_salt,date,station_id,station_name
23:55,0.7,71,-3.9,0,10.2,279,0.0,0.00,978.5,0,19.2,-0.8,-7.7,24,3.7,-0.6,-11.1,5.1,2023-02-08,F-27,Porkerishálsur
23:50,0.8,73,-3.5,0,11.9,272,0.0,0.00,978.3,0,18.9,-0.7,-8.1,24,3.9,-0.7,-10.5,4.8,2023-02-08,F-27,Porkerishálsur
23:45,0.9,78,-2.6,0,13.7,255,0.0,0.00,978.5,0,18.9,-0.7,-8.7,24,4.1,-0.6,-9.6,4.5,2023-02-08,F-27,Porkerishálsur
23:40,1.4,78,-2.1,0,13.3,247,0.0,0.00,977.9,0,18.3,-0.7,-9.2,24,4.3,-0.6,-8.5,4.0,2023-02-08,F-27,Porkerishálsur
23:35,1.3,76,-2.4,0,11.3,247,0.0,0.00,977.8,0,17.4,-0.7,-9.9,24,4.6,-0.6,-7.3,3.5,2023-02-08,F-27,Porkerishálsur
23:30,1.3,82,-1.5,0,10.5,247,0.0,0.00,978.1,0,15.5,-0.8,-10.2,24,4.7,-0.7,-6.1,3.0,2023-02-08,F-27,Porkerishálsur
23:25,1.5,78,-1.9,0,11.3,252,0.0,0.00,978.0,0,15.2,-0.7,-10.4,24,4.8,-0.7,-4.7,2.4,2023-02-08,F-27,Porkerishálsur
23:20,1.4,78,-2.1,0,10.2,258,0.0,0.00,978.3,0,15.2,-0.8,-10.5,24,4.8,-0.7,-3.1,1.6,2023-02-08,F-27,Porkerishálsur
23:15,1.3,81,-1.7,0,9.4,260,0.0,0.00,978.4,0,14.8,-0.8,-10.6,24,4.8,-0.6,-1.2,0.7,2023-02-08,F-27,Porkerishálsur
23:10,1.0,86,-1.0,0,10.1,265,0.0,0.00,978.4,0,16.3,-0.7,-10.6,24,4.9,-0.6,-1.1,0.6,2023-02-08,F-27,Porkerishálsur
23:05,0.8,87,-1.2,0,11.3,264,0.0,0.00,978.4,0,18.4,-0.8,-10.7,24,4.9,-0.6,-1.1,0.6,2023-02-08,F-27,Porkerishálsur
23:00,1.4,77,-2.2,0,11.8,251,0.0,0.00,978.5,0,18.4,-0.9,-10.7,24,4.9,-0.6,-1.2,0.6,2023-02-08,F-27,Porkerishálsur
